used time:19.979942389329274,step:273,loss:19.94207000732422,mse_loss:1.4828143119812012
used time:20.16134895881017,step:274,loss:10.185007095336914,mse_loss:1.3858919143676758
used time:20.332346697648365,step:275,loss:21.313840866088867,mse_loss:1.3352408409118652
used time:20.522568452358247,step:276,loss:14.114299774169922,mse_loss:1.4227088689804077
used time:20.702265461285908,step:277,loss:13.724925994873047,mse_loss:1.3870707750320435
used time:20.873402603467305,step:278,loss:28.739748001098633,mse_loss:1.5591785907745361
used time:21.040046707789102,step:279,loss:14.673370361328125,mse_loss:1.6015512943267822
used time:21.22416009902954,step:280,loss:15.249343872070312,mse_loss:1.3684616088867188
used time:21.409918149312336,step:281,loss:16.384607315063477,mse_loss:1.4367578029632568
used time:21.571727041403452,step:282,loss:20.279815673828125,mse_loss:1.513274908065796
used time:21.741509044170378,step:283,loss:21.828279495239258,mse_loss:1.3762032985687256
used time:21.902584207057952,step:284,loss:17.06281852722168,mse_loss:1.4219704866409302
used time:22.058591492970784,step:285,loss:15.636208534240723,mse_loss:1.3856698274612427
used time:22.227549584706626,step:286,loss:18.32581329345703,mse_loss:1.4510596990585327
used time:22.397804876168568,step:287,loss:26.089378356933594,mse_loss:1.4144623279571533
used time:22.562681090831756,step:288,loss:23.37592124938965,mse_loss:1.537369966506958
used time:22.723812794685365,step:289,loss:15.261751174926758,mse_loss:1.450995683670044
used time:22.884044408798218,step:290,loss:15.471946716308594,mse_loss:1.4568428993225098
used time:23.049579767386117,step:291,loss:19.09019660949707,mse_loss:1.538030743598938
used time:23.209230375289916,step:292,loss:22.317951202392578,mse_loss:1.5111124515533447
used time:23.378310092290242,step:293,loss:17.214176177978516,mse_loss:1.3954898118972778
used time:23.541416096687318,step:294,loss:14.692892074584961,mse_loss:1.4760578870773315
used time:23.725897105534873,step:295,loss:18.8821964263916,mse_loss:1.495924472808838
used time:23.907003474235534,step:296,loss:14.772575378417969,mse_loss:1.5306552648544312
